Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Xenistius,californiensis,salema,Matt Craig,X,,,,Xenistius californiensis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Girella,nigricans,Opaleye,Matt Craig,X,,X,,Girella nigricans,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hermosilla,azurea,zebraperch,Matt Craig,X,,X,,Hermosilla azurea,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Medialuna,californiensis,halfmoon,Matt Craig,X,,X,,Medialuna californiensis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Halichoeres,semicinctus,rock wrasse,Matt Craig,X,,X,,Halichoeres semicinctus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Oxyjulis,californica,senorita,Matt Craig,X,,,,Oxyjulis californica,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Semicossyphus,pulcher,California sheephead,Matt Craig,X,,X,,Semicossyphus pulcher,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Paraclinus,integripinnis,reef finspot,Matt Craig,X,,X,,Paraclinus integripinnis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hypsypops,rubicundus,garibaldi,Matt Craig,X,,,,Hypsypops rubicundus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Atractoscion,nobilis,white seabass,Matt Craig,X,,X,,Atractoscion nobilis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Cheilotrema,saturnum,black croaker,Matt Craig,X,,X,,Cheilotrema saturnum,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Menticirrhus,undulatus,California corbina,Matt Craig,X,,X,,Menticirrhus undulatus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Seriphus,politus,queenfish,Matt Craig,X,,X,,Seriphus politus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Umbrina,roncador,yellowfin croaker,Matt Craig,X,,X,,Umbrina roncador,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Paralabrax,clathratus,kelp bass,Matt Craig,X,,X,,Paralabrax clathratus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Paralabrax,nebulifer,barred sand bass,Matt Craig,X,,,,Paralabrax nebulifer,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Sphyraena,argentea,Pacific barracuda,Matt Craig,X,,,,Sphyraena argentea,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Clinocottus,analis,wooly sculpin,Matt Craig,X,,X,,Clinocottus analis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Cottidae,sp,,Matt Craig,X,,,,Cottidae sp,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Scorpaenichthys,marmoratus,cabezon,Matt Craig,X,,X,,Scorpaenichthys marmoratus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Scorpaena,guttata,California scorpionfish,Matt Craig,X,,X,,Scorpaena guttata,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Sebastes,atrovirens,kelp rockfish,Matt Craig,X,,,,Sebastes atrovirens,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Sebastes,rastrelliger,grass rockfish,Matt Craig,X,,,,Sebastes rastrelliger,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Mustelus,californicus,gray smoothound,Matt Craig,X,,X,,Mustelus californicus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Triakis,semifasciata,leopard shark,Matt Craig,X,,X,,Triakis semifasciata,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Heterodontus,francisci,horn shark,Matt Craig,X,,,,Heterodontus francisci,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Rhinobatos,productus,shovelnose guitarfish,Matt Craig,X,,,,Rhinobatos productus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Mytilus,galloprovincialis,Bay mussel,Bonnie Becker,,,,,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,NA,,sessile,
Hildenbrandia,spp,,,,,,,Hildenbrandia spp,Hildenbrandia spp,Non Coralline crust,NONCRU,Non-coralline crust,OTHPLA,Algae/plants,NONCRU,Non-coralline crust,,sessile,algae
,,,,,,,,NA,NA,Red Crust,NONCRU,Non-coralline crust,OTHPLA,Algae/plants,NONCRU,Non-coralline crust,,sessile,algae
Petrospongium,rugosum,,SWAT 2002,,X,,,Petrospongium rugosum,NA,Petrospongium rugosum,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Analipus,japonicus,,,,,,,Analipus japonicus,Analipus japonicus,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Cylindrocarpus,rugosus,,,,,,,Cylindrocarpus rugosus,Cylindrocarpus rugosus,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Pseudolithoderma,nigra,,SWAT 2002,,X,,,Pseudolithoderma nigra,NA,Pseudolithoderma nigra,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Ralfsia,spp,,SWAT 2002,,X,,,Ralfsia spp,Ralfsia spp,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Dictyopteris,undulata,,SWAT 2002,,X,,,Dictyopteris undulata,Dictyopteris undulata,Dictyopteris undulata,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Dictyota,flabellata,,SWAT 2002,,X,,,Dictyota flabellata,Dictyota flabellata,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Pachydictyon,coriaceum,,Tiffany Luas,,X,X,,Pachydictyon coriaceum,Pachydictyon coriaceum,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Taonia,lennebackeriae,,Tiffany Luas,,X,X,,Taonia lennebackeriae,Taonia lennebackeriae,Taonia lennebackerae,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Ectocarpus,parvus,,,,,,,Ectocarpus parvus,Ectocarpus parvus,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Sargassum,agardhianum,Native sargassum weed,Chris Janousek,,X,,,Sargassum agardhianum,Sargassum agardhianum,Sargassum agardhianum,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Pterygophora,californica,,,,,,,Pterygophora californica,Pterygophora californica,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Laminaria,farlowii,,,,,,,Laminaria farlowii,Laminaria farlowii,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Macrocystis,integrifolia,,,,,,,Macrocystis integrifolia,Macrocystis integrifolia,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Macrocystis,pyrifera,Giant kelp,Chris Janousek,,,X,,Macrocystis pyrifera,Macrocystis pyrifera,Macrocystis pyrifera,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Pelagophycus,porra,,,,,,,Pelagophycus porra,Pelagophycus porra,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Sphacelaria,californica,,SWAT 2002,,X,X,,Sphacelaria californica,Sphacelaria californica,Sphacelaria californica,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Sphacelaria,didichotoma,,,,,,,Sphacelaria didichotoma,Sphacelaria didichotoma,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Plocamium,pacificum,,Chris Janousek,,,,,Plocamium pacificum,Plocamium pacificum,NA,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
,,,,,,,,NA,NA,Dictyota coriacea,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
,,,,,,,,NA,NA,Hapterophycus canaliculatus,OTHBRO,Other brown algae,OTHPLA,Algae/plants,OTHBRO,Other brown algae,,sessile,algae
Chaetomorpha,linum,,,,,,,Chaetomorpha linum,Chaetomorpha linum,Chaetomorpha spp,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Chaetomorpha,spp,,SWAT 2002,,X,,,Chaetomorpha spp,NA,Chaetomorpha spp,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Cladophora,graminea,,SWAT 2002,,X,,,Cladophora graminea,NA,Cladophora graminea,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Bryopsis,corticulans,,SWAT 2002,,X,,,Bryopsis corticulans,NA,NA,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Bryopsis,pinnatula,,,,,,,Bryopsis pinnatula,Bryopsis pinnatula,NA,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Codium,fragile,Dead Man's Fingers,Chris Janousek,,X,X,,Codium fragile,Codium fragile,Codium fragile,OTHGRE,Other green algae,OTHPLA,Algae/plants,OTHGRE,Other green algae,,sessile,algae
Unidentified nereid worm,spp,,,,,,,Unidentified nereid worm spp,Unidentified nereid worm spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lumbrineris,spp,,Leslie Harris,,,,,Lumbrineris spp,Lumbrineris spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Halosydna,brevisetosa,Scaleworm,Leslie Harris,,,,,Halosydna brevisetosa,Halosydna brevisetosa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unidentified amphipods,spp,,,,,,,Unidentified amphipods spp,Unidentified amphipods spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cancer,antennarius,Rock crab,,,,,,Cancer antennarius,Cancer antennarius,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pachygrapsus,crassipes,Lined shore crab,Bonnie Becker,,X,,,Pachygrapsus crassipes,Pachygrapsus crassipes,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Heptacarpus,pictus,Caridean shrimp,Bonnie Becker,,,,,Heptacarpus pictus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lysmata,californica,red rock shrimp,,,,,,Lysmata californica,Lysmata californica,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Spirontocaris,picta,,,,,,,Spirontocaris picta,Spirontocaris picta,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Loxorhynchus,crispatus,"masking crab, moss crab",,,,,,Loxorhynchus crispatus,Loxorhynchus crispatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Taliepus,nuttali,Globose kelp crab,Bonnie Becker,,,,,Taliepus nuttali,Taliepus nuttali,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pagurus,hirsutiusculus,hermit crab,SWAT 2002,,X,,,Pagurus hirsutiusculus,Pagurus hirsutiusculus,Pagurus hirsutiusculus,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pagurus,samuelis,hermit crab,SWAT 2002,,X,,,Pagurus samuelis,Pagurus samuelis,Pagurus samuelis,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Panulirus,interruptus,California Spiny Lobster,Bonnie Becker,,,,,Panulirus interruptus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
