Zedler,CBS,LTM current,LTM 1990,type
NA,Petrospongium rugosum,Other brown algae,Algae/plants,algae
NA,Phyllospadix scouleri,Phyllospadix scouleri/torreyi,Algae/plants,algae
NA,Phyllospadix torreyi,Phyllospadix scouleri/torreyi,Algae/plants,algae
NA,Pista spp,Other invertebrates,Animals,sessile invertebrates
NA,Plocamium pacificum,Other red algae,Algae/plants,algae
NA,Prionitis angusta,Other red algae,Algae/plants,algae
NA,Prionitis cornea,Other red algae,Algae/plants,algae
NA,Prionitis sternbergii,Other red algae,Algae/plants,algae
NA,Pseudolithoderma nigra,Other brown algae,Algae/plants,algae
NA,Pterosiphonia bipinnata,Other red algae,Algae/plants,algae
NA,Pyropia spp,Porphyra spp,Algae/plants,algae
NA,Red Crust,Non-coralline crust,Algae/plants,algae
NA,Sarcodiotheca gaudichaudii,Other red algae,Algae/plants,algae
NA,Scinaia confusa,Other red algae,Algae/plants,algae
NA,Serpula vermicularis,Other invertebrates,Animals,sessile invertebrates
NA,Spyridia filamentosa,Other red algae,Algae/plants,algae
NA,Tegula gallina/funebralis,Other invertebrates,Animals,sessile invertebrates
NA,Tiffaniella snyderiae,Other red algae,Algae/plants,algae
NA,Ulvophyceae,Ulva/enteromorpha,Algae/plants,algae
Nassarina penicillata,NA,Other invertebrates,Animals,mobile invertebrates
Navanax inermis,NA,Other invertebrates,Animals,mobile invertebrates
Netastoma rostrata,NA,Other invertebrates,Animals,sessile invertebrates
Norrisia norrisi,NA,Other invertebrates,Animals,mobile invertebrates
Notoacmea fenestrata,NA,Other invertebrates,Animals,mobile invertebrates
Notoacmea insessa,NA,Limpet,Animals,sessile invertebrates
Nuttalina fluxa,NA,Other invertebrates,Animals,sessile invertebrates
Nuttallia nuttallii,NA,Other invertebrates,Animals,sessile invertebrates
Ocenebra circumtexta,NA,Other invertebrates,Animals,mobile invertebrates
Octopus bimaculoides,NA,Other invertebrates,Animals,mobile invertebrates
Odostomia nota,NA,Other invertebrates,Animals,mobile invertebrates
Olivella biplicata,NA,Other invertebrates,Animals,mobile invertebrates
Opalia funiculata,NA,Other invertebrates,Animals,mobile invertebrates
Ophioderma panamense,NA,Other invertebrates,Animals,mobile invertebrates
Ophionereis annulata,NA,Other invertebrates,Animals,mobile invertebrates
Ophioplocus esmarki,NA,Other invertebrates,Animals,mobile invertebrates
Ophiopteris papillosa,NA,Other invertebrates,Animals,mobile invertebrates
Ophiothrix rudis,NA,Other invertebrates,Animals,mobile invertebrates
Ophiothrix spiculata,NA,Other invertebrates,Animals,mobile invertebrates
Opuntiella californica,NA,Other red algae,Algae/plants,algae
Ostrea lurida,NA,Other invertebrates,Animals,sessile invertebrates
Ozophora latifolia,NA,Other red algae,Algae/plants,algae
Pachydictyon coriaceum,NA,Other brown algae,Algae/plants,algae
Pachygrapsus crassipes,NA,Other invertebrates,Animals,mobile invertebrates
Pagurus hirsutiusculus,Pagurus hirsutiusculus,Other invertebrates,Animals,mobile invertebrates
Pagurus samuelis,Pagurus samuelis,Other invertebrates,Animals,mobile invertebrates
Pedipes unisulcatus,NA,Other invertebrates,Animals,mobile invertebrates
Pelagophycus porra,NA,Other brown algae,Algae/plants,algae
Penitella penita,NA,Other invertebrates,Animals,sessile invertebrates
Pentidotea resecata,NA,Other invertebrates,Animals,mobile invertebrates
Petroglossum pacificum,NA,Other red algae,Algae/plants,algae
Petroglossum parvum,NA,Other red algae,Algae/plants,algae
Petrolisthes cinctipes,NA,Other invertebrates,Animals,mobile invertebrates
Phragmatopoma californica,Phragmatopoma/Sabellaria spp,Phragmatopoma californica,Animals,sessile invertebrates
Pisaster giganteus,NA,Other invertebrates,Animals,mobile invertebrates
Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animals,mobile invertebrates
Platyodon cancellatus,NA,Other invertebrates,Animals,sessile invertebrates
Platysiphonia parva,Ceramiales,Other red algae,Algae/plants,algae
Plocamia karykina,NA,Other invertebrates,Animals,sessile invertebrates
Plocamium cartilagineum,Plocamium pacificum,Other red algae,Algae/plants,algae
Plocamium pacificum,NA,Other brown algae,Algae/plants,algae
Pogonophorella californica,Ceramiales,Other red algae,Algae/plants,algae
Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,sessile invertebrates
Polysiphonia savatieri,Polysiphonia spp,Other red algae,Algae/plants,algae
Polysiphonia scopulorum var villum,Polysiphonia spp,Other red algae,Algae/plants,algae
Porphyrella californica,NA,Other red algae,Algae/plants,algae
Prionitis lanceolata,NA,Other red algae,Algae/plants,algae
Protothaca staminea,NA,Other invertebrates,Animals,sessile invertebrates
Pseudochama exogyra,Pseudochama exogyra,Other invertebrates,Animals,sessile invertebrates
Pseudomelatoma penicillata,NA,Other invertebrates,Animals,mobile invertebrates
Pterocladiella caloglossoides,Pterocladiella capillacea,Other red algae,Algae/plants,algae
Pterocladiella capillacea,NA,Other red algae,Algae/plants,algae
Pterosiphonia baileyi,Pterosiphonia baileyi,Other red algae,Algae/plants,algae
Pterosiphonia dendroidea,Pterosiphonia dendroidea/pennata,Other red algae,Algae/plants,algae
Pterygophora californica,NA,Other brown algae,Algae/plants,algae
Pugettia producta,Pugettia producta,Other invertebrates,Animals,mobile invertebrates
Ralfsia spp,NA,Other brown algae,Algae/plants,algae
Red bryozoan spp,NA,Other invertebrates,Animals,sessile invertebrates
Rhodymenia californica,Rhodymenia californica,Other red algae,Algae/plants,algae
Rhodymenia pacifica,Rhodymenia pacifica,Other red algae,Algae/plants,algae
Roperia poulsoni,NA,Other invertebrates,Animals,mobile invertebrates
Salmacina tribranchiata,NA,Other invertebrates,Animals,sessile invertebrates
Sargassum agardhianum,Sargassum agardhianum,Other brown algae,Algae/plants,algae
Sargassum muticum,Sargassum muticum,Sargassum muticum,Algae/plants,algae
Scytosiphon dotyi,Melanosiphon/Scytosiphon spp,Scytosiphon spp,Algae/plants,algae
Seila monteryensis,NA,Other invertebrates,Animals,mobile invertebrates
Semele decisa,NA,Other invertebrates,Animals,sessile invertebrates
Semele rupicola,NA,Other invertebrates,Animals,sessile invertebrates
Septifer bifurcatus,NA,Other invertebrates,Animals,sessile invertebrates
Serpulorbis squamigerus,Serpulorbis squamigerus,Other invertebrates,Animals,mobile invertebrates
Silvetia compressa,Silvetia compressa,Silvetia compressa,Silvetia compressa,algae
Smithora naiadum,NA,Other red algae,Algae/plants,algae
Sphacelaria californica,Sphacelaria californica,Other brown algae,Algae/plants,algae
Sphacelaria didichotoma,NA,Other brown algae,Algae/plants,algae
Spirontocaris picta,NA,Other invertebrates,Animals,mobile invertebrates
Spirorbis eximius,NA,Other invertebrates,Animals,sessile invertebrates
Spirorbis spirillum,NA,Other invertebrates,Animals,sessile invertebrates
Spirorbis spp,NA,Other invertebrates,Animals,sessile invertebrates
Stenoplax conspicua,NA,Other invertebrates,Animals,sessile invertebrates
Strongylocentrotus franciscanus,NA,Other invertebrates,Animals,mobile invertebrates
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Other invertebrates,Animals,mobile invertebrates
Taliepus nuttali,NA,Other invertebrates,Animals,mobile invertebrates
Taonia lennebackeriae,Taonia lennebackerae,Other brown algae,Algae/plants,algae
Tectura paleacea,NA,Limpet,Animals,sessile invertebrates
Tegula aureotincta,NA,Other invertebrates,Animals,mobile invertebrates
Tegula eiseni,Tegula eiseni,Other invertebrates,Animals,mobile invertebrates
Tegula funebralis,Tegula funebralis,Other invertebrates,Animals,mobile invertebrates
Teinostoma supravallatum,NA,Other invertebrates,Animals,mobile invertebrates
Tetraclita rubescens,Tetraclita rubescens,Tetraclita rubescens,Tetraclita rubescens,sessile invertebrates
Trachycardium quadragenarium,NA,Other invertebrates,Animals,sessile invertebrates
Tricolia pulloides,NA,Other invertebrates,Animals,mobile invertebrates
Tricolia rubrilineata,NA,Other invertebrates,Animals,mobile invertebrates
Trimusculus reticulatus,NA,Other invertebrates,Animals,mobile invertebrates
Triphora pedroana,NA,Other invertebrates,Animals,mobile invertebrates
Trivia californiana,NA,Other invertebrates,Animals,mobile invertebrates
Turbonilla jewetti,NA,Other invertebrates,Animals,mobile invertebrates
Turbonilla kelseyi,NA,Other invertebrates,Animals,mobile invertebrates
Turbonilla tenuicula,NA,Other invertebrates,Animals,mobile invertebrates
Ulva angusta,Ulvophyceae,Ulva/enteromorpha,Algae/plants,algae
Ulva californica,Ulvophyceae,Ulva/enteromorpha,Algae/plants,algae
Ulva rigida,Ulvophyceae,Ulva/enteromorpha,Algae/plants,algae
Unid encrusting sponge spp,NA,Other invertebrates,Animals,sessile invertebrates
Unid platyhelminthes spp,NA,Other invertebrates,Animals,mobile invertebrates
Unidentified amphipods spp,NA,Other invertebrates,Animals,mobile invertebrates
Unidentified anemone spp,NA,Anemones (generic),Animals,sessile invertebrates
Unidentified ectoprocts spp,NA,Other invertebrates,Animals,sessile invertebrates
Unidentified nemertea spp,NA,Other invertebrates,Animals,mobile invertebrates
Unidentified nereid worm spp,NA,Other invertebrates,Animals,mobile invertebrates
Unidentified tube worm spp,NA,Other invertebrates,Animals,sessile invertebrates
Vitrinella oldroydi,NA,Other invertebrates,Animals,mobile invertebrates
Xestospongia vanilla,NA,Other invertebrates,Animals,sessile invertebrates
